title;date;content
Carta;2021-05-13T03:43:22+00:00;Escribirnos para mantener vivo lo que sentíamos era una buena costumbre que teníamos hace años. Con el paso del tiempo decidimos que lo mejor era escribir en tercera persona, como si fuéramos un espectador más de un escrito misterioso concebido por alguien que ni conocíamos.  Pero hoy tal vez debamos volver a esas épocas. Ambos hemos tenido siempre esa desagradable costumbre de la nostalgia. Sospecho que es porque secretamente subestimamos el futuro y entendemos el presente como un producto del pasado. La ironía es que conforme vivimos, ese pasado se va volviendo difuso. Es por eso que no abrazamos aquello que pasó sino lo que nos gusta pensar que pasó. Y es curioso, porque no estar seguros del pasado es dudar de la vida que hemos recorrido. Pero, en todo caso, ese pasado difuminado nos ha moldeado a los dos. ¿Cómo es posible no recordar enteramente aquello que nos ha llevado a ser nosotros mismos? Sé que a los dos nos gusta pensar que hemos tomado decisiones correctas, que hemos hecho las cosas que queríamos y que estamos justo en el lugar que imaginamos en algún momento. Quizás hemos hecho las cosas bien, o tal vez solo nos falta un poco de imaginación para pensar en otro camino que hubiésemos podido recorrer. Al final nada de eso importa. La vida pasa y nosotros pasamos con ella. Eso es lo único que tenemos que saber.      
6 de mayo;2021-05-07T02:25:18+00:00;Nos merecemos el consuelo de poder pensar que somos más o menos buenos para alguna cosa. 
Visión y optimismo;2021-04-04T19:29:14+00:00;Últimamente he comenzado con el extraño pasatiempo de revisar los archivos de The New York Times (la suscripción vale $1 USD al mes, por lo que es un pasatiempo barato). Escarbar en noticias del pasado es extraño. Por momentos sería difícil adivinar la edad de los artículos si no se supiera que los protagonistas murieron hace décadas. La historia es cíclica, supongo.  En una de esas revisiones ociosas, más particularmente en la edición del 19 de septiembre de 1930, encontré un párrafo casi irrelevante en el que se presentaba una pequeña entrevista a Einstein. En ella, refiriéndose al resultado de las elecciones federales de Alemania y del ascenso vertiginoso de los nazis en las mismas, dice que «no hay razones para el desespero» y que aquello que se estaba viendo, en vez de ser una muestra de un antisemitismo creciente, era solo un «resentimiento momentáneo causado por la miseria económica». Remataba diciendo además que «esperaba que la fiebre disminuyera rápidamente». Desde luego no es una idea del todo errónea, pues es bien sabido que Hitler pescó en río revuelto después de la crisis del 29 y logró que todo un país lo siguiera. El problema, claro, es que el antisemitismo siempre había sido un componente fundamental del nazismo. Al aceptar al nazismo, toda Alemania se trasladó de facto a una vertiente antisemita mucho más violenta de la que se había conocido hasta el momento. Probablemente consciente de que su hipótesis optimista (o incrédula) se quedó corta, abandonaría Alemania hacia Estados Unidos en octubre de 1932. Solo unos meses después Hitler llega a la cancillería. Lo que viene para el mundo y para los judíos más tarde es historia.  Tal vez cualquier cosa en el futuro es relativamente predecible, solo que a veces nuestro optimismo nos nubla la  visión. También es probable que decidamos deliberadamente nublar nuestra visión para mantener el optimismo.  
Dignidad;2021-03-20T00:34:06+00:00;"Desde siempre, y con siempre me refiero a más a menos 12 años hacia atrás, he sentido un interés particularmente fuerte por el nazismo. Creo que incluso el Estalinismo y su brutalidad superlativa se queda corto ante el horror que desplegó el nazismo sobre el el pueblo judío de Europa en la década de los 30 y los primeros años de los 40. Y es que no ha habido plan en la historia tan sistemático, tan racional y tan metódico como el que los nazis pusieron en marcha para aniquilar a una población entera. Y no fue un plan precisamente inédito por la industrialización de la muerte que logró, sino porque los arquitectos del genocidio habían razonado desde el primer momento, con una frialdad y cálculo aterrador, que no se podía exterminar a un pueblo sin antes quitarle su dignidad. Primero era preciso destruir todo aquello que los podía definir como sus tradiciones, sus pertenencias, sus familias, sus profesiones e incluso su nacionalidad; en cuanto no hubiera nada de aquello, pensaban, no había razón para que, ni ellos ni nadie, sintieran la más mínima compasión. Ya no eran humanos, ya no eran nada: eran básicamente animales existiendo. Los habían despojado de todo. Ya no tenían dignidad."
30 de enero;2021-01-31T02:26:10+00:00;En la vida de toda persona llega el momento en el que tiene que aceptar que aquello en lo que se convirtió ya depende menos de los demás que de él mismo.
16 de enero;2021-01-17T03:50:27+00:00;Estaba navegando erráticamente entre los blogs nunca publicados. Hay un par que se remontan hasta enero del 2016. Algunas de esas entradas apócrifas son bastante vigentes, otras cuantas no recuerdo haberlas concebido jamás. En general son entradas inconclusas o que al final no quise publicar por desinterés. También hay muchas entradas en blanco: seguramente mi cabeza pensó en algo pero fui muy lento para escribirlo y abandoné la idea rápidamente. 
2020;2020-12-31T19:29:05+00:00;"Ni el pormenor simbólicoDe reemplazar un tres por un dosNi esa metáfora baldía Que convoca un lapso que muere y otro que surgeNi el cumplimiento de un proceso astronómicoAturden y socavan La altiplanicie de esta nocheY nos obligan a esperarLas doce irreparables campanadas. La causa verdaderaEs la sospecha general y borrosaDel enigma del tiempo; Es el asombro ante el milagroDe que a despecho de infinitos azares,De que a despecho de que somos Las gotas del río de Heráclito,Perdure algo en nosotros:Inmóvil. Borges."
Otro día más;2020-10-29T04:14:24+00:00;7:15 am: suena una alarma con un tono melancólico que siempre olvido cambiar. A veces no la necesito, otras tantas es lo único que me hace abrir los ojos. Hoy había logrado despertar un par de minutos antes. Mi cuerpo ya está acostumbrando, pienso. Me levanto y abro la persiana. Parece que afuera está brumoso pero no siento frío. Un pequeño pensamiento de alegría me invade mientras imagino que no hará tanto calor. Es la primera gran emoción del día. Camino al baño y la alergia me ataca con bastante más inclemencia que ayer. Nada que una Cetirizina no arregle. Me miro al espejo y noto la resequedad del párpado que anoche parecía haberse ido, no debe ser nada importante. Me ducho rápido y me viene a la mente de manera involuntaria una que otra frase descontextualizada de la película que vi hace unos días. No me gustó y aún así no logro sacarme esas líneas. Salgo y busco algo de comer. Hay huevos pero no encuentro ánimos para prepararlos. Hoy será granola, tal como ayer y anteayer. Quizás deje los huevos para el fin de semana cuando tenga más ánimos y tiempo, pero debo ser cuidadoso en no dejarlos dañar como los anteriores. Cuando termino de comer lavo el plato y la cuchara. Vuelvo a mi cuarto y me siento. Otro día ha comenzado.   
18 de octubre;2020-10-19T02:51:03+00:00;Hola otra vez, vieja amiga.
14 de agosto;2020-08-14T17:11:22+00:00;5 meses bastaron para quebrarme.
